pwt 7.1 rgdpl,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Taiwan,,1236.3802063,1336.1894639,1419.2726072,1507.6899137,1565.0579034,1594.4077781,1653.0090569,1710.6674913,1791.6080524,1858.9347349,1914.9363672,2005.6850138,2141.8954647,2321.3696142,2509.8536232,2658.3208611,2875.1096555,3071.9216352,3267.0954992,3542.7322139,3906.939854,4336.5706063,4766.3468918,4794.6512788,4938.5647891,5505.1871289,5978.1409529,6658.9027969,7075.0820685,7426.4993133,7749.9087431,7890.525716,8415.8029817,9067.1863433,9275.4983109,10210.338851,11239.359223,11791.808022,12825.893774,13651.564583,14618.090431,15592.194787,16487.019326,17549.907379,18508.624822,19345.053758,20296.854694,20839.613921,21869.631715,23022.824995,22253.135817,23303.337481,24080.252949,25610.339287,26692.991386,28031.013466,29568.94741,29629.735377,28824.64363,32117.699829
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1798.3869824,1363.0636782,1067.3990367,818.7915212,1145.2652342,1062.2403265,992.68936155,1028.2314459,1090.374452,1163.8873368,1321.443488,1395.5766167,1493.4480829,1476.7042653,1618.8106395,1562.2529055,1725.6426482,1764.8212197
Tanzania,,,,,,,,,,,388.1261535,386.95820458,403.85865449,405.80946117,476.6080853,488.32378759,510.68626785,540.79842965,570.36836943,555.75016484,611.86422559,636.54006833,646.29139605,626.42875088,635.0247799,654.71410204,639.98665632,642.36404046,658.88250833,661.309733,664.49858224,594.41010493,580.9340863,564.07381315,554.87583766,561.63518624,600.34131641,635.19640358,686.84029074,694.13396239,744.95198347,751.10905815,730.8600207,712.5772851,683.86265523,671.69879534,664.26314647,669.54848811,694.42473352,709.97383266,724.64021884,751.69254605,790.24936735,833.85826386,882.22599281,931.75564612,974.99595564,1027.9999132,1084.6997699,1128.3891722,1177.7017188
Thailand,1014.8395774,939.44518329,888.79270408,778.72910756,826.01111209,741.49717609,750.83910323,829.89987102,819.99032181,884.40719102,962.0643688,982.80220896,1023.2789508,1078.8187708,1114.6436169,1171.8801768,1267.613391,1324.3240777,1387.7433324,1446.1784563,1570.2522609,1660.8805931,1636.8981358,1748.4688668,1799.6149976,1857.2696207,1983.0037612,2148.4039031,2370.8135549,2317.925784,2413.0930673,2560.2545508,2686.3129813,2682.0739774,2817.469142,2979.741312,3072.5508152,3247.1060699,3513.9478143,3863.5003298,4378.6426029,4708.3873244,5048.589954,5360.6900708,5728.1901486,6050.3878512,6256.0865299,6066.0905807,5356.0687751,5565.0169813,5650.6297117,5831.6477035,6044.1821125,6423.3830919,6733.8752752,6965.6676818,7280.4281546,7592.8357053,7674.8368109,7578.208304,8065.5698611
Togo,,,,,,,,,,,709.60131239,790.36389254,787.01790837,791.71253123,856.65617429,945.92744445,1039.1252076,1086.8136652,1125.162575,1204.8367219,1150.9455692,1210.6569988,1220.0707519,1133.560492,1149.8737959,1132.9560107,1104.0533082,1151.4537122,1234.3388839,1277.7367794,1183.7918594,1069.6184224,998.02461356,911.11471182,923.51751614,917.70791093,932.06733058,879.8423511,918.50530817,921.67814323,947.28726877,921.16677017,850.82955478,720.17143241,810.7301174,824.56649896,850.50116484,840.66463064,806.70805897,808.82954393,777.16269595,744.54273539,717.09721928,737.6666445,733.44086181,725.42877085,738.1654214,729.51074689,721.81372047,721.81951653,732.85044418
Tonga,,,,,,,,,,,,,,,,,,,,,2994.4228882,3027.9214228,3019.0834022,3086.2310597,3141.1651505,3003.8154544,3302.0721365,3303.6915886,3344.814391,3415.383534,3960.7586805,4561.4884825,5286.9021155,5539.3630277,5502.3067408,5690.8217876,5878.8938468,5991.3577842,5986.3858834,6008.8669062,5747.1652797,6137.1227195,6354.9178125,6374.5449179,6727.2800107,6706.0522683,6774.2567062,7074.1979898,6656.8847933,7309.830595,7515.6283747,7468.0998562,7542.7731803,7747.4496083,7776.0606835,7640.2262113,7724.8451376,7316.8349077,7751.568105,7373.658999,7538.3736516
Trinidad and Tobago,4412.485309,4790.5657264,4931.0582373,4838.1974581,5010.2647139,5628.1963421,6031.1430718,6725.173625,7276.2820225,7669.7449855,8169.9607701,8778.6000691,8832.4893647,8963.0877948,9369.4962937,9403.2892278,9536.442591,9641.4724038,10417.782837,10759.281796,11199.304956,11280.243187,12286.250571,12120.666427,13172.011475,13702.960123,14931.04095,15410.035803,17426.940058,17575.997206,19229.548738,18758.098967,18793.339385,16662.196317,15143.951521,13822.040577,12188.635825,11385.311984,10801.572459,10488.47502,10636.384743,10891.760527,11009.573421,10692.446247,11560.26044,12146.509905,12038.508413,12683.117366,12790.564763,13386.375128,15815.046879,15460.798843,15005.926533,19919.996696,21299.377563,23332.754904,23766.62875,26677.545641,32266.081677,30549.583234,30783.917193
Tunisia,,,,,,,,,,,,1805.7528156,1927.4990318,2119.6709681,2198.5768408,2202.1899655,2201.4575716,2167.3073263,2284.5040906,2325.2761741,2366.1794634,2635.8495544,3132.009545,2846.0425469,3122.2124191,3141.8521092,3341.5809672,3359.6186539,3531.5717035,3678.6424761,3804.8655185,3984.9874929,3880.9033488,3930.4281113,3990.8395066,3966.1036949,3732.9228517,3745.2641258,3726.6069048,3843.7736313,4069.8025088,4098.3807986,4388.6223601,4392.814982,4421.1068228,4466.7093838,4687.0758044,4890.8162139,5071.9056877,5308.130462,5381.4256433,5541.9538425,5419.434166,5524.0473804,5667.3487196,5667.3777094,5796.7879868,5939.4070465,6000.8081961,5987.6458162,6105.4082709
Turkey,2191.2516139,2649.7708881,2796.8752821,3074.3374102,2692.2096874,2880.4442683,2832.1639381,3358.0632902,3505.7871943,3325.1614044,3183.7643929,3223.7204219,3315.7181876,3566.8724571,3564.7459487,3579.6492267,3882.8145093,3934.2229109,4127.6224399,4231.4067645,4328.1312013,4521.4249802,4742.5096458,4761.6847966,4692.8483738,4938.045031,5337.8138097,5661.5160846,5577.1963838,5405.3915741,5290.5374873,5224.2533602,5302.9308571,5480.3627565,5713.7171793,5719.2388779,5958.3019808,6181.1553394,6160.3064919,6080.703707,6648.0750431,6643.5838902,6859.8872883,7357.3756771,6779.6470639,7090.6835088,7546.9160788,8054.2041482,8120.8935049,7795.1423736,8158.7614884,7594.3448027,7925.020163,8267.6555516,8918.3907099,9531.9475517,10030.232114,10370.376037,10288.959341,9738.5320744,10439.90933
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10134.587058,8221.9514608,7238.5819787,8070.3061354,6759.3066666,7219.7096745,8116.3714584,8739.2424333,8777.7511306,8696.4780616,8829.2019878,9143.2876936,10348.435383,11290.094471,12296.660144,13712.15227,14491.999885,15658.94887
Uganda,657.140748,729.48302305,757.46958089,696.52366306,654.95818564,666.04635933,693.372705,707.62042132,657.50454115,675.27131528,658.75561136,637.47246602,666.87364572,693.76239682,712.5095621,717.4291533,754.39915946,774.79798359,781.22678517,823.15412422,809.52215684,809.63661442,792.52012571,777.03365006,759.39328579,729.86817014,711.14699696,702.57980133,655.71390173,560.93123143,535.81049552,527.95382833,559.83787739,581.21545435,563.21742384,530.13960165,522.42067471,521.64955671,528.7807521,545.48436288,568.87687792,582.48658969,582.74665335,608.52781776,725.01060674,706.59239092,739.28056826,765.30864817,791.26239891,830.21318088,843.53205971,860.89922175,884.38465718,902.46144078,917.36587382,963.92579992,992.96740151,1024.1571135,1092.5207316,1106.1136035,1101.5269962
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5248.7976027,4282.406927,3779.1381989,3421.8845427,3391.5152168,3420.6812144,3506.5870037,3733.6381115,4096.3765498,4409.6436471,4869.0076391,5558.4083056,5876.1158108,6416.4965298,7046.2341182,7419.5071907,6692.9172145,7047.705761
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59881.984085,59280.191168,54302.468136,57903.002629,64198.283464,60830.863784,58959.009365,56055.743138,57097.202414,58361.035589,59644.821016,61452.465828,58584.992824,57781.920626,61722.230578,60015.268734,58387.843068,60345.932823,62406.350958,62640.933315,65878.903805,65415.683478,64148.054514,61096.834409,60131.745122
United Kingdom,8996.8293521,9388.7766739,9380.5328953,9800.687378,10072.221188,10364.598847,10429.376831,10517.296037,10506.877389,10795.260866,11204.608124,11332.722416,11393.010885,11735.765581,12250.919429,12481.673209,12651.855149,12915.167702,13349.357866,13511.892139,13798.897499,14099.381206,14546.708046,15619.785537,15469.487759,15326.313532,15818.83632,15936.818189,16503.317311,16941.083528,16655.204175,16596.545612,17038.363952,17842.337787,18441.375023,19219.799271,20220.422682,21370.934049,22550.387771,23062.976302,23160.804579,22765.635489,22774.774158,23223.354035,24105.773256,24707.670008,25396.446588,27020.764001,28052.1687,28983.854603,30152.058331,30996.009269,31710.686137,32701.787737,33501.780005,33982.908207,34685.562141,35705.640454,35044.6225,33153.210635,34266.967595
United States,13046.229223,14141.45547,14633.551148,15014.698333,14417.932084,15134.517387,15138.113514,15112.598688,14730.923529,15292.1974,15387.733184,15478.500697,16207.454596,16692.416928,17399.917749,18310.857352,19254.432119,19512.306092,20309.625945,20746.345143,20436.195103,20855.519697,21748.700804,22763.470887,22382.439904,22110.741378,23147.028223,24013.144585,25061.551256,25494.444052,24985.427101,25356.001467,24714.379819,25699.202264,27401.564913,28288.14259,28982.957264,29615.036288,30504.95319,31270.918414,31451.990306,30889.829673,31548.54489,32114.677787,33131.421288,33597.706851,34535.51168,35768.724565,37005.607065,38430.999119,39643.498487,39516.663551,39769.199589,40429.707805,41540.658526,42482.387617,43215.471277,43517.262782,42731.435384,40401.588861,41376.080966
Uruguay,4538.980334,5256.1629717,4941.8198728,5018.0946126,5507.6465755,5458.6864399,5328.5421262,5488.7149934,4950.0046334,4825.1067501,5010.9864575,5040.3059853,4918.177995,4742.9654521,4756.9520887,4618.2676482,4760.2282537,4611.0113489,4561.1621199,4895.9534607,5075.1534069,5121.9996859,4952.67337,4938.6452232,5045.0804865,5419.3758049,5660.1320592,5807.943225,6152.2561441,6685.2849316,7058.0272423,6996.5167734,6183.0674121,5408.2648608,5203.8799375,5194.1571937,5715.5554546,6324.2408454,6224.0599137,6186.5367255,6131.8919613,6467.5526627,7235.543095,7519.0289375,8112.6226295,7968.0917089,8363.7012582,8781.745671,9128.5760739,8838.8584907,8618.8868108,8261.5547325,7618.7162613,7717.1194536,8091.4157519,8709.7836375,9087.8926301,9737.2834105,10604.880087,10804.642528,11717.628704
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1930.5666765,1843.0018231,1617.1040175,1517.6598825,1403.0025497,1395.5459935,1382.3166874,1408.7735549,1459.0852886,1479.036188,1559.9118754,1552.6580376,1616.761673,1675.8017514,1791.1984679,1906.5719949,1970.5599847,2158.5718797,2298.7662047,2519.3413701,2678.5138843
Vanuatu,,,,,,,,,,,,,,,,,,,,,3247.5226491,3230.7626422,3222.5267217,3650.3985777,4758.0028365,4399.8008892,4351.8031377,4181.2822169,4761.3152835,4771.2840351,4103.8086609,4151.4217193,4460.9437107,5462.7169095,5598.663867,5365.2125725,5455.4842817,4834.303838,4767.7125114,4779.1676985,4803.9887099,5161.6579404,5401.8470267,5532.263633,5484.6805264,5615.5762916,5890.0487072,5561.4565586,5537.353996,5186.458423,5537.3077653,5083.1182762,5088.2125326,5187.9910276,5272.8515959,5330.6707784,5638.3197642,6046.5561489,6388.5348211,6428.3951531,6696.4724322
Venezuela,5486.3994262,5822.5568864,6275.6508816,6224.8711723,6544.2882007,6767.7087441,7155.0874733,7593.612311,7426.3212265,7560.4944253,6989.5934304,7032.7732616,7415.306675,7620.1359713,8249.2103745,8377.1539879,8071.2727543,8137.9041265,8546.3132921,8730.5227345,9308.3948457,9369.3043735,9283.7493788,9880.446778,10954.26017,10671.230321,11152.692536,11502.794536,11271.477388,10893.405018,9950.5365724,9642.6037737,9187.0736024,8272.1800828,8376.2733311,8137.8228132,8462.7035093,8539.5432713,8893.167823,7806.8224593,8124.9002285,8823.8880153,9180.2134062,9007.3795283,8591.9307027,8870.0539934,8701.7748895,9225.0968008,9186.1973699,8408.3184092,8640.8150905,8681.3391263,7906.0889612,7163.6413077,8265.8677299,8920.9010304,9477.723062,9965.7879127,10168.180033,9509.5102822,9070.929923
Vietnam,,,,,,,,,,,,,,,,,,,,,553.55533847,560.94517295,558.61724593,537.65692445,537.3007151,539.85546566,584.65851208,647.36987004,644.48418768,674.58227985,638.24868093,660.94875434,698.58751667,731.21093193,776.37342203,798.67809852,808.6425128,818.06456757,822.75580535,854.99412497,906.72482177,949.48881232,1017.9518186,1061.145977,1105.4510643,1190.5979019,1287.7965729,1370.7244024,1425.8020588,1465.5900319,1538.6316253,1614.2231206,1683.0118971,1770.8600081,1912.0492337,2088.371997,2239.8233416,2307.4638266,2429.5552139,2548.644122,2778.6357485
Yemen Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1330.9243675,1488.4882675,1400.3040817,1459.6290287,1448.9364321,1436.8203289,1642.0340076,1938.2013977,1992.1805913,2004.204212,1991.8433667,2048.7631186,2112.0581411,2122.2575028,2161.2559104,2196.0829895,2240.1419682,2230.6052739,2264.6920375,2282.9040209,2297.6356323,2395.5981696
Zambia,,,,,,1203.2374621,1307.3218871,1374.2827584,1250.7293511,1363.6134367,1360.7964015,1341.4360304,1316.685251,1327.6798215,1426.4566136,1538.1817191,1710.3558768,1944.6390258,1967.1369594,1745.8220256,1723.4859599,1743.8067349,1753.0573206,1524.9179326,1608.9784122,1535.0943278,1380.879247,1310.2939771,1183.7025996,1184.8322587,1206.4097912,1201.2508662,1002.1238519,941.56946415,914.77268173,959.8059394,937.3790876,994.56870162,1029.2775016,942.60182722,901.94678191,849.77831075,800.05273668,785.46655469,738.93141589,964.45725233,945.92732725,1006.7623534,985.18051868,942.64389458,973.88913058,1029.3759367,1051.8433121,1011.5724454,1057.8251239,1066.6425707,1120.7529441,1406.1056225,1438.9787319,1403.6618912,1518.0377072
Zimbabwe,,,,,244.84409538,248.0060228,264.63471756,276.89425627,276.45030586,290.66681095,287.84300336,297.68646736,297.78051048,294.40359954,288.18231257,300.10771332,283.12119019,275.43111719,238.97032314,298.19400299,350.28115026,376.55324545,391.49264212,396.09026491,412.21945833,401.33447993,401.21209533,360.95701285,404.30695776,424.84483449,421.83267445,471.87749373,469.98110013,508.84788483,430.90892532,425.17643423,416.23892726,404.33525595,453.01332664,457.8131689,463.92516466,497.28369996,485.54960765,427.09682526,440.24179283,403.17084566,411.63690201,405.06184144,399.27628199,422.03960817,392.97418222,374.00357092,331.81474554,374.93936058,343.28795589,323.26037198,361.01874601,294.53633495,275.7033274,300.42828905,318.80410029
